STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/05/2019,0,87,96,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/05/2019,0,87,97,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/05/2019,0,87,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/05/2019,0,88,97,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/05/2019,0,89,96,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/05/2019,0.01,88,96,80
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/05/2019,0,87,,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/06/2019,0,87,,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/06/2019,0,85,94,80
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/06/2019,0.62,80,89,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/06/2019,1.53,86,92,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/06/2019,0,84,91,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/06/2019,0.04,84,90,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/06/2019,0.13,88,92,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/06/2019,0,83,,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/06/2019,2.16,79,,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/06/2019,0.03,83,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/06/2019,0.39,82,86,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/06/2019,0.11,88,92,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/06/2019,0,83,93,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/06/2019,0,85,90,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/06/2019,0,85,92,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/06/2019,0,86,91,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/06/2019,0,85,93,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/06/2019,0,84,,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/07/2019,0,85,92,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/07/2019,0,84,91,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/07/2019,0.07,86,92,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/07/2019,0,86,,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/07/2019,0,88,91,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/07/2019,0,87,94,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/07/2019,0,88,94,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/07/2019,0,82,92,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/07/2019,1.02,83,92,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/07/2019,0,84,,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/07/2019,0.08,82,88,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/07/2019,0.2,85,91,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/07/2019,0,82,88,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/07/2019,0.2,80,85,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/07/2019,0.23,83,86,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/07/2019,0.01,83,89,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/07/2019,0.01,83,88,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/07/2019,0,83,,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/07/2019,0,85,,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,25/07/2019,0.13,82,88,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/07/2019,0.03,85,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/07/2019,0,84,89,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/07/2019,0,83,90,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/07/2019,0,85,92,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,31/07/2019,0,85,,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/08/2019,0,85,91,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/08/2019,0,87,91,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/08/2019,0,84,,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/08/2019,0.19,86,91,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/08/2019,0,83,,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/08/2019,0.98,81,87,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/08/2019,0.12,82,87,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/08/2019,0.55,80,82,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/08/2019,0,83,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/08/2019,0,83,87,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,13/08/2019,0,80,84,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/08/2019,0.33,82,87,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/08/2019,0,83,,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/08/2019,0,86,90,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/08/2019,0,82,,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/08/2019,0,82,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,20/08/2019,0.02,83,90,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/08/2019,0.17,82,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/08/2019,0.42,78,,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/08/2019,0.67,81,84,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/08/2019,0.28,85,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,25/08/2019,0.02,83,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/08/2019,0.18,80,84,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/08/2019,0.57,81,87,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/08/2019,0.08,83,89,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/08/2019,0,84,89,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/09/2019,0.28,81,89,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/09/2019,0.14,83,90,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/09/2019,0.02,84,90,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/09/2019,0,83,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/09/2019,0.23,80,88,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/09/2019,0.98,83,87,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/09/2019,0.06,87,91,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/09/2019,0,84,92,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/09/2019,0,85,91,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/09/2019,0,85,91,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/09/2019,0,81,88,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/09/2019,0.48,79,85,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,13/09/2019,0,86,91,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/09/2019,0,84,91,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/09/2019,0.39,79,,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/09/2019,0.95,78,85,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/09/2019,0.47,83,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/09/2019,0.39,82,89,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/09/2019,0.13,81,,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,20/09/2019,0.11,84,88,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/09/2019,0,81,91,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/09/2019,0.05,79,88,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/09/2019,0.98,78,85,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/09/2019,,82,,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/09/2019,0,84,90,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/09/2019,0.02,81,89,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/09/2019,0,81,91,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/10/2019,0.05,79,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/10/2019,0,80,92,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/10/2019,2.97,79,87,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/10/2019,0.52,80,,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/10/2019,0.28,81,,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/10/2019,0.5,81,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/10/2019,0.38,81,91,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/10/2019,0.04,84,91,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,13/10/2019,0.08,80,90,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/10/2019,3.13,84,93,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/10/2019,0,81,,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/10/2019,1.48,78,86,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/10/2019,0.45,80,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/10/2019,0.24,84,90,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/10/2019,0.01,81,89,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,20/10/2019,1.43,80,88,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/10/2019,1.1,78,,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/10/2019,1.67,79,85,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/10/2019,0.11,80,88,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/10/2019,0.83,76,81,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,25/10/2019,0.69,84,89,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/10/2019,0.04,81,86,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/10/2019,0.03,78,81,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/10/2019,0.95,77,81,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/10/2019,0.38,80,86,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/10/2019,0,80,85,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,31/10/2019,0.03,81,87,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/11/2019,0.01,87,92,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/11/2019,0,85,91,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/11/2019,0.01,80,88,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/11/2019,0.03,81,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/11/2019,0.01,83,90,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/11/2019,0,83,91,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/11/2019,0,85,92,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/11/2019,0,87,91,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/11/2019,0,85,90,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/11/2019,0,82,91,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/11/2019,0.24,83,91,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/11/2019,1.31,83,91,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,13/11/2019,0,83,92,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/11/2019,0,83,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/11/2019,0,86,92,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/11/2019,1.07,81,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/11/2019,1.73,83,91,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/11/2019,0,83,92,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/11/2019,0,82,90,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,20/11/2019,0.22,83,91,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/11/2019,0,84,92,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/11/2019,0,84,88,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/11/2019,0,85,92,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/11/2019,0,81,85,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,25/11/2019,0,81,88,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/11/2019,0.32,82,91,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/11/2019,0.04,83,91,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/11/2019,0,81,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/11/2019,0.06,85,90,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/11/2019,0.21,80,88,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/12/2019,7.43,81,88,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/12/2019,0.19,80,86,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/12/2019,0.4,80,88,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/12/2019,0.19,78,81,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/12/2019,0.85,78,86,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/12/2019,0,78,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/12/2019,0,82,85,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/12/2019,0.12,78,82,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/12/2019,0,86,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/12/2019,0,82,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/12/2019,0,81,90,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/12/2019,0,79,84,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/12/2019,0.35,79,83,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/12/2019,0.33,79,84,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,20/12/2019,1.86,72,78,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/12/2019,0.91,84,91,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/12/2019,0,79,84,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,23/12/2019,0,82,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/12/2019,0,83,92,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,25/12/2019,0,81,90,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/12/2019,0,82,,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/12/2019,0,85,90,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/12/2019,0,85,91,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/12/2019,0,82,90,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/12/2019,0,82,90,70
