HCHO_reading,Location,Current_Date,Next_Date
4.317640515599125e-05,nuwara eliya proper,2019-06-19,2019-06-20
9.229919803482012e-05,nuwara eliya proper,2019-06-20,2019-06-21
9.229919803482012e-05,nuwara eliya proper,2019-06-21,2019-06-22
0.0001479365913374,nuwara eliya proper,2019-06-22,2019-06-23
6.17899931725921e-05,nuwara eliya proper,2019-06-23,2019-06-24
6.17899931725921e-05,nuwara eliya proper,2019-06-24,2019-06-25
6.17899931725921e-05,nuwara eliya proper,2019-06-25,2019-06-26
0.0001348028330007,nuwara eliya proper,2019-06-26,2019-06-27
8.074711312637191e-05,nuwara eliya proper,2019-06-27,2019-06-28
0.0001259997361788,nuwara eliya proper,2019-06-28,2019-06-29
0.0001105386966815,nuwara eliya proper,2019-06-29,2019-06-30
0.0001086163531717,nuwara eliya proper,2019-06-30,2019-07-01
5.762188204561666e-05,nuwara eliya proper,2019-07-01,2019-07-02
0.0001623492259486,nuwara eliya proper,2019-07-02,2019-07-03
0.0001738523006491,nuwara eliya proper,2019-07-03,2019-07-04
0.0001738523006491,nuwara eliya proper,2019-07-04,2019-07-05
0.0001177761070948,nuwara eliya proper,2019-07-05,2019-07-06
0.0001369265480897,nuwara eliya proper,2019-07-06,2019-07-07
0.0001863186505513,nuwara eliya proper,2019-07-07,2019-07-08
0.00024779655935,nuwara eliya proper,2019-07-08,2019-07-09
0.00024779655935,nuwara eliya proper,2019-07-09,2019-07-10
0.00024779655935,nuwara eliya proper,2019-07-10,2019-07-11
0.0001292302443306,nuwara eliya proper,2019-07-11,2019-07-12
0.0001169642800239,nuwara eliya proper,2019-07-12,2019-07-13
0.0001169642800239,nuwara eliya proper,2019-07-13,2019-07-14
0.0001169642800239,nuwara eliya proper,2019-07-14,2019-07-15
0.0001169642800239,nuwara eliya proper,2019-07-15,2019-07-16
5.911798409791456e-05,nuwara eliya proper,2019-07-16,2019-07-17
3.329885377230573e-05,nuwara eliya proper,2019-07-17,2019-07-18
3.329885377230573e-05,nuwara eliya proper,2019-07-18,2019-07-19
3.329885377230573e-05,nuwara eliya proper,2019-07-19,2019-07-20
3.329885377230573e-05,nuwara eliya proper,2019-07-20,2019-07-21
3.329885377230573e-05,nuwara eliya proper,2019-07-21,2019-07-22
3.329885377230573e-05,nuwara eliya proper,2019-07-22,2019-07-23
9.433908685854995e-05,nuwara eliya proper,2019-07-23,2019-07-24
0.0001659327228923,nuwara eliya proper,2019-07-24,2019-07-25
0.0001659327228923,nuwara eliya proper,2019-07-25,2019-07-26
0.0001184712242621,nuwara eliya proper,2019-07-26,2019-07-27
0.0001114548395224,nuwara eliya proper,2019-07-27,2019-07-28
4.187517193366405e-05,nuwara eliya proper,2019-07-28,2019-07-29
0.0001617242205137,nuwara eliya proper,2019-07-29,2019-07-30
0.0001080114271866,nuwara eliya proper,2019-07-30,2019-07-31
7.751671709410368e-05,nuwara eliya proper,2019-07-31,2019-08-01
0.0001329736920653,nuwara eliya proper,2019-08-01,2019-08-02
0.0001329736920653,nuwara eliya proper,2019-08-02,2019-08-03
5.651169903300146e-05,nuwara eliya proper,2019-08-03,2019-08-04
5.651169903300146e-05,nuwara eliya proper,2019-08-04,2019-08-05
5.651169903300146e-05,nuwara eliya proper,2019-08-05,2019-08-06
5.651169903300146e-05,nuwara eliya proper,2019-08-06,2019-08-07
5.651169903300146e-05,nuwara eliya proper,2019-08-07,2019-08-08
5.651169903300146e-05,nuwara eliya proper,2019-08-08,2019-08-09
5.651169903300146e-05,nuwara eliya proper,2019-08-09,2019-08-10
5.651169903300146e-05,nuwara eliya proper,2019-08-10,2019-08-11
5.651169903300146e-05,nuwara eliya proper,2019-08-11,2019-08-12
5.651169903300146e-05,nuwara eliya proper,2019-08-12,2019-08-13
5.651169903300146e-05,nuwara eliya proper,2019-08-13,2019-08-14
5.651169903300146e-05,nuwara eliya proper,2019-08-14,2019-08-15
5.651169903300146e-05,nuwara eliya proper,2019-08-15,2019-08-16
5.651169903300146e-05,nuwara eliya proper,2019-08-16,2019-08-17
5.651169903300146e-05,nuwara eliya proper,2019-08-17,2019-08-18
3.799505288802035e-05,nuwara eliya proper,2019-08-18,2019-08-19
3.799505288802035e-05,nuwara eliya proper,2019-08-19,2019-08-20
3.799505288802035e-05,nuwara eliya proper,2019-08-20,2019-08-21
3.799505288802035e-05,nuwara eliya proper,2019-08-21,2019-08-22
3.799505288802035e-05,nuwara eliya proper,2019-08-22,2019-08-23
3.799505288802035e-05,nuwara eliya proper,2019-08-23,2019-08-24
3.799505288802035e-05,nuwara eliya proper,2019-08-24,2019-08-25
3.799505288802035e-05,nuwara eliya proper,2019-08-25,2019-08-26
3.799505288802035e-05,nuwara eliya proper,2019-08-26,2019-08-27
3.799505288802035e-05,nuwara eliya proper,2019-08-27,2019-08-28
3.799505288802035e-05,nuwara eliya proper,2019-08-28,2019-08-29
3.799505288802035e-05,nuwara eliya proper,2019-08-29,2019-08-30
2.82110260500617e-05,nuwara eliya proper,2019-08-30,2019-08-31
9.445839367563298e-05,nuwara eliya proper,2019-08-31,2019-09-01
9.445839367563298e-05,nuwara eliya proper,2019-09-01,2019-09-02
8.64964669904217e-05,nuwara eliya proper,2019-09-02,2019-09-03
3.3414233799745706e-05,nuwara eliya proper,2019-09-03,2019-09-04
0.000116729877908,nuwara eliya proper,2019-09-04,2019-09-05
0.000116729877908,nuwara eliya proper,2019-09-05,2019-09-06
0.000116729877908,nuwara eliya proper,2019-09-06,2019-09-07
4.987681369842603e-05,nuwara eliya proper,2019-09-07,2019-09-08
0.0002593871115593,nuwara eliya proper,2019-09-08,2019-09-09
8.982164139944275e-05,nuwara eliya proper,2019-09-09,2019-09-10
8.982164139944275e-05,nuwara eliya proper,2019-09-10,2019-09-11
8.982164139944275e-05,nuwara eliya proper,2019-09-11,2019-09-12
8.982164139944275e-05,nuwara eliya proper,2019-09-12,2019-09-13
8.982164139944275e-05,nuwara eliya proper,2019-09-13,2019-09-14
8.982164139944275e-05,nuwara eliya proper,2019-09-14,2019-09-15
8.982164139944275e-05,nuwara eliya proper,2019-09-15,2019-09-16
8.982164139944275e-05,nuwara eliya proper,2019-09-16,2019-09-17
8.982164139944275e-05,nuwara eliya proper,2019-09-17,2019-09-18
3.6572593671735376e-05,nuwara eliya proper,2019-09-18,2019-09-19
3.6572593671735376e-05,nuwara eliya proper,2019-09-19,2019-09-20
3.6572593671735376e-05,nuwara eliya proper,2019-09-20,2019-09-21
4.00684436684202e-05,nuwara eliya proper,2019-09-21,2019-09-22
4.00684436684202e-05,nuwara eliya proper,2019-09-22,2019-09-23
4.00684436684202e-05,nuwara eliya proper,2019-09-23,2019-09-24
4.00684436684202e-05,nuwara eliya proper,2019-09-24,2019-09-25
4.00684436684202e-05,nuwara eliya proper,2019-09-25,2019-09-26
4.00684436684202e-05,nuwara eliya proper,2019-09-26,2019-09-27
4.00684436684202e-05,nuwara eliya proper,2019-09-27,2019-09-28
4.00684436684202e-05,nuwara eliya proper,2019-09-28,2019-09-29
4.00684436684202e-05,nuwara eliya proper,2019-09-29,2019-09-30
4.00684436684202e-05,nuwara eliya proper,2019-09-30,2019-10-01
0.0001037214939681,nuwara eliya proper,2019-10-01,2019-10-02
0.0001037214939681,nuwara eliya proper,2019-10-02,2019-10-03
0.0001037214939681,nuwara eliya proper,2019-10-03,2019-10-04
0.0001037214939681,nuwara eliya proper,2019-10-04,2019-10-05
0.0001037214939681,nuwara eliya proper,2019-10-05,2019-10-06
0.0001037214939681,nuwara eliya proper,2019-10-06,2019-10-07
0.0001037214939681,nuwara eliya proper,2019-10-07,2019-10-08
0.0001037214939681,nuwara eliya proper,2019-10-08,2019-10-09
0.0001037214939681,nuwara eliya proper,2019-10-09,2019-10-10
0.0001037214939681,nuwara eliya proper,2019-10-10,2019-10-11
0.0001037214939681,nuwara eliya proper,2019-10-11,2019-10-12
0.0001037214939681,nuwara eliya proper,2019-10-12,2019-10-13
0.0001037214939681,nuwara eliya proper,2019-10-13,2019-10-14
2.680059781088767e-05,nuwara eliya proper,2019-10-14,2019-10-15
2.680059781088767e-05,nuwara eliya proper,2019-10-15,2019-10-16
8.089742914307863e-05,nuwara eliya proper,2019-10-16,2019-10-17
8.089742914307863e-05,nuwara eliya proper,2019-10-17,2019-10-18
8.089742914307863e-05,nuwara eliya proper,2019-10-18,2019-10-19
